backburner (n)									backburner	/#backburner#/	/ˈbækˌbɜːnə/	n	A lower priority task or issue.	Finding out the living arrangements of a captain of their military was a very difficult task, so they put it on the backburner and focus on more pressing issues.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT
broadstroke		visão geral							broadstroke	/#broadstroke#/	/#broadstroke#/	n	A general or sweeping statement, action, or approach without fine details.		visión general						aperçu						grobe Übersicht						visió general						visione generale												English::Vocabulary Vocabulary::Crazy_Difficult Vocabulary::English Vocabulary::My_Choice
chikilidae eggs	<img src="_chikilidae_eggs.JPG">								chikilidae eggs	/#chikilidae# ˈɛɡz/	/#chikilidae# ˈeɡz/	n	Eggs of a small amphibian species, possibly referenced metaphorically in Attack on Titan.	Scientists discovered a nest of chikilidae eggs near the riverbank.																																					English::Vocabulary Vocabulary::My_Choice FanFics::Ein-Riese FanFics::Titan-Eren Vocabulary::Animals Vocabulary::AOT
chogh (bird)		chogh							chogh	/#chogh#/	/#chogh#/	n	A type of bird, also known as a red-billed chough.		chova						chough						Alpendohle						gralla de bec roig						gracchio corallino												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice
ethnogenesis		etnogênese							ethnogenesis	/#ethnogenesis#/	/#ethnogenesis#/	n	The process by which a distinct ethnic group emerges or forms over time.		etnogénesis						ethnogenèse						Ethnogenese						etnogènesi						etnogenesi												English::Vocabulary Phylosophy Vocabulary::Anthropology Vocabulary::Crazy_Difficult Vocabulary::English Vocabulary::My_Choice
hanfu (Paper Lantern Festivals)									hanfu	/#hanfu#/	/#hanfu#/	n	Traditional Chinese clothing, often worn at cultural festivals.	She dressed in a beautiful hanfu for the lantern festival.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Asia Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Paper-Lantern-Festivals
catrina (Day of the Death)									catrina	/#kaˈtɾina#/	/#kaˈtɾina#/	n	A skeletal female figure dressed elegantly, symbolizing the acceptance of death.	Many women painted their faces like La Catrina for the parade.	catrina																																				Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
calavera (Day of the Death)									calavera	/#kalaˈβeɾa#/	/#kalaˈβeɾa#/	n	A skull, often used in artistic or symbolic representations during the celebration.	The poet wrote a funny calavera about his teacher for the holiday.	calavera																																				Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
calaverita (Day of the Death)									calaverita	/#kalaβeˈɾita#/	/#kalaβeˈɾita#/	n	A short, humorous poem written during the Day of the Dead, often mocking death and celebrating life.	People write calaveritas to humorously honor their deceased loved ones during the Day of the Dead.	calaverita																																				Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
Mixquic Day of the Dead (celebration)									Mixquic Day of the Dead	/#miksˈkik# ˈdeɪ əv ðə ˈdɛd/	/#miksˈkik# ˈdeɪ əv ðə ˈded/	n	A famous celebration in San Andrés Mixquic, Mexico, known for its candlelit cemetery vigils.	The Mixquic Day of the Dead is famous for its nighttime cemetery procession.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
Mohism		Mohismo							Mohism	/#Mohism#/	/#Mohism#/	n	An ancient Chinese philosophy advocating universal love, meritocracy, and pragmatic governance.		Moísmo						mohisme						Mohismus						mohisme						mohismo												English::Vocabulary Phylosophy Vocabulary::Crazy_Difficult Vocabulary::English Vocabulary::My_Choice
ofrenda (Day of the Death)									ofrenda	/#oˈfɾenda#/	/#oˈfɾenda#/	n	An offering placed on altars, including food, drinks, and personal items of the deceased.	The ofrenda included pan de muerto, sugar skulls, and the favorite dishes of the departed.	ofrenda																																				Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
papel picado (Day of the Death)									papel picado	/#paˈpel piˈkaðo#/	/#paˈpel piˈkaðo#/	n	Decorative paper cut into intricate designs, used to adorn altars and streets.	The papel picado fluttered in the breeze, adding color to the celebration.	papel picado																																				Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
yukata (Paper Lantern Festivals)									yukata	/#yukata#/	/jʊˈkʰɑːtə/	n	A casual summer kimono, often worn at Japanese festivals.	Many people wore colorful yukatas while carrying their lanterns.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Asia Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Paper-Lantern-Festivals
Zhongyuan Festival (Paper Lantern Festivals)									Zhongyuan Festival	/#Zhongyuan# ˈfɛstəvəl/	/#Zhongyuan# ˈfestɪvᵊl/	n	A Chinese Ghost Festival where people make offerings and light lanterns to honor the dead.	During the Zhongyuan Festival, people burn incense and send off paper lanterns.																																					Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Asia Suggested_by_ChatGPT Vocabulary::Festivals Vocabulary::Paper-Lantern-Festivals
ancestry (Day of the Death)									ancestry	/ˈænˌsɛstɹi/	/ˈænsestri/	n	A person&#x27;s family origins and heritage, often honored during the holiday.	Through Día de los Muertos, we recognize our ancestry and cultural roots.																																					Curso::1C1::Do_you_remember Curso::1C1::Speaking_Vocabulary English::Vocabulary Vocabulary::My_Choice Lugares::Mexico Suggested_by_ChatGPT Vocabulary::Celebrations Vocabulary::Day-of-the-Dead Vocabulary::Dia-de-Muertos Vocabulary::Festivals
onyx		ônix							onyx	/ˈɑnɪks/	/ˈɒnɪks/	n	A semiprecious stone with alternating bands of color, often used in jewelry.		ónix						onyx						Onyx						ònix						onice												English::Vocabulary Vocabulary::Crazy_Difficult Vocabulary::English Vocabulary::Jewelry Vocabulary::Materials Vocabulary::My_Choice
boundary (n)									boundary	/ˈbaʊndɹi/	/ˈbaʊndᵊri/	n	A limit or dividing line, often figurative.																																						English::Vocabulary Vocabulary::My_Choice FanFics::Lost-in-the-Cosmos-Lonely FanFics::Titan-Eren Vocabulary::AOT
bot (n)(pron)		bot							bot	/ˈbɑt/	/ˈbɒt/	n	A software application that runs automated tasks on the internet.		bot						bot						Bot						bot						bot												English::Hard_to_Pronounce English::Vocabulary Vocabulary::English Vocabulary::My_Choice Vocabulary::Technology::2025
